case_name,target_rho,target_w,actual_rho_lookup,actual_w_lookup,actual_rho_rve,actual_w_rve,rho_bcc_rve,rho_iwp_rve,t1,t2,n_rve,dx,D1111,D1122,D1212,E_eff,G_eff,nu_eff,A_zener,runtime_s,status,error_message
rho0.30_w0.4,0.3,0.4,0.30078125,0.4025974025974026,0.29398148148148145,0.3897637795275591,0.11458333333333333,0.2847222222222222,-2.65,-2.45,24,0.8333333333333334,57.97632866519026,33.69207122450645,40.18568249370574,33.209764292666414,40.18568249370574,0.3675429184435165,3.309607682414206,54.722416162490845,ok,
rho0.30_w0.2,0.3,0.2,0.296875,0.21052631578947367,0.2986111111111111,0.24418604651162792,0.07291666666666667,0.29050925925925924,-2.8,-2.2,24,0.8333333333333334,57.990559037100184,33.6931327924478,40.23435735224232,33.226565033018026,40.23435735224232,0.367493194483134,3.3118205152364637,61.54778289794922,ok,
rho0.30_w0.6,0.3,0.6,0.30078125,0.5584415584415584,0.3101851851851852,0.5485074626865672,0.1701388888888889,0.2847222222222222,-2.35,-2.45,24,0.8333333333333334,131.33294786801352,71.94973010344889,80.51221806162961,80.40127268921769,80.51221806162961,0.35393930669070317,2.711615203501928,68.06421542167664,ok,
rho0.30_w0.8,0.3,0.8,0.32421875,0.8072289156626506,0.31828703703703703,0.7527272727272728,0.23958333333333334,0.2650462962962963,-1.95,-3.0,24,0.8333333333333334,199.19523885649136,101.14176812372479,108.00499994156235,131.0740481843931,108.00499994156235,0.33676092447171263,2.202981682023628,63.638739585876465,ok,
rho0.20_w0.0,0.2,0.0,0.2734375,0.05625,0.26613136574074076,0.02283229138352813,0.006076388888888889,0.2650462962962963,-3.0,-3.0,24,0.8333333333333334,2.497398318719732,2.4973983187186755,2.483765401773572,1.5843827675007524e-12,2.483765401773572,0.4999999999998943,4701927254267.84,23.81271004676819,ok,
rho0.20_w0.2,0.2,0.2,0.2734375,0.22857142857142856,0.27662037037037035,0.26359832635983266,0.07291666666666667,0.2650462962962963,-2.8,-3.0,24,0.8333333333333334,57.00155233544157,32.8129542682256,37.53087954059482,33.02569345643276,37.53087954059482,0.36534136309429804,3.1031876619143395,40.70674180984497,ok,
rho0.20_w0.4,0.2,0.4,0.2734375,0.22857142857142856,0.27662037037037035,0.26359832635983266,0.07291666666666667,0.2650462962962963,-2.8,-3.0,24,0.8333333333333334,57.00155233544157,32.8129542682256,37.53087954059482,33.02569345643276,37.53087954059482,0.36534136309429804,3.1031876619143395,40.51300239562988,ok,
rho0.20_w0.6,0.2,0.6,0.28125,0.3888888888888889,0.27662037037037035,0.3640167364016737,0.10069444444444445,0.2650462962962963,-2.7,-3.0,24,0.8333333333333334,57.00155233544157,32.8129542682256,37.53087954059482,33.02569345643276,37.53087954059482,0.36534136309429804,3.1031876619143395,39.2516872882843,ok,
rho0.20_w0.8,0.2,0.8,0.29296875,0.5733333333333334,0.2951388888888889,0.5764705882352942,0.1701388888888889,0.2650462962962963,-2.35,-3.0,24,0.8333333333333334,116.3588724965016,66.71178987297837,74.42087489332089,67.73870746891973,74.42087489332089,0.36440459115365065,2.997995892635174,37.134350061416626,ok,
rho0.20_w1.0,0.2,1.0,0.29296875,0.5733333333333334,0.2951388888888889,0.5764705882352942,0.1701388888888889,0.2650462962962963,-2.35,-3.0,24,0.8333333333333334,116.3588724965016,66.71178987297837,74.42087489332089,67.73870746891973,74.42087489332089,0.36440459115365065,2.997995892635174,37.04321098327637,ok,
rho0.25_w0.0,0.25,0.0,0.2734375,0.05625,0.26613136574074076,0.02283229138352813,0.006076388888888889,0.2650462962962963,-3.0,-3.0,24,0.8333333333333334,2.497398318719732,2.4973983187186755,2.483765401773572,1.5843827675007524e-12,2.483765401773572,0.4999999999998943,4701927254267.84,22.906785249710083,ok,
